,image_path,h,w,f_i,x1,y1,x2,y2,emotion,emo_confidence
37,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,16,1048,521,1127,615,happy,0.94
38,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,17,1424,1131,1529,1287,fear,0.95
39,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,18,444,156,507,233,sad,0.0
40,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,19,35,505,122,631,happy,0.0
41,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,20,808,557,881,664,angry,0.0
42,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,21,237,170,298,254,sad,0.93
43,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,22,1563,525,1635,634,happy,0.0
44,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,23,156,685,243,816,happy,0.96
45,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,24,1308,697,1402,830,happy,0.0
46,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,25,1287,500,1370,614,happy,0.0
47,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,26,314,502,394,621,angry,0.0
48,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,27,435,1162,534,1290,disgust,0.92
49,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,28,60,242,130,338,happy,0.0
50,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,29,589,392,660,497,happy,0.0
51,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,30,1554,426,1628,524,happy,0.0
52,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,31,26,137,91,228,happy,0.0
53,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,32,85,358,166,465,sad,0.0
54,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,33,1265,379,1342,483,angry,0.0
55,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,34,1056,161,1117,246,happy,0.0
56,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,35,1231,240,1300,327,surprise,0.0
57,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,36,1608,114,1668,207,happy,0.0
58,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,37,1015,287,1079,377,happy,0.0
59,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,38,690,276,752,364,happy,0.0
60,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,39,500,252,570,349,neutral,0.0
61,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,40,1158,884,1260,1024,happy,0.0
62,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,41,875,248,946,355,sad,0.0
63,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,42,697,173,759,256,happy,0.0
64,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,43,1002,419,1069,507,angry,0.0
65,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,44,1477,266,1544,365,happy,0.0
66,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,45,1251,130,1323,230,neutral,0.0
67,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,46,375,366,452,485,angry,0.0
68,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,47,1629,282,1692,381,happy,0.0
69,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,48,792,398,857,493,happy,0.0
70,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,49,1432,114,1495,211,happy,0.0
71,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,50,575,504,654,610,happy,0.0
72,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,51,1826,230,1896,338,happy,0.0
73,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,52,268,252,338,362,sad,0.0
74,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,53,31,912,121,1031,sad,0.0
75,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,54,865,184,920,259,happy,0.0
76,C:\mywork\ml\deepfaceAndEmotion\source\01537a90201f483c8492876384636764.jpg,1561,1921,55,1823,135,1888,221,angry,0.0
77,C:\mywork\ml\deepfaceAndEmotion\source\022915fab0af4d5dbc74c88214a21ee5.jpg,360,640,0,496,27,550,107,sad,0.0
78,C:\mywork\ml\deepfaceAndEmotion\source\022915fab0af4d5dbc74c88214a21ee5.jpg,360,640,1,211,39,275,130,happy,0.0
79,C:\mywork\ml\deepfaceAndEmotion\source\022915fab0af4d5dbc74c88214a21ee5.jpg,360,640,2,393,27,451,112,happy,0.0
80,C:\mywork\ml\deepfaceAndEmotion\source\022915fab0af4d5dbc74c88214a21ee5.jpg,360,640,3,63,39,112,106,happy,0.0
81,C:\mywork\ml\deepfaceAndEmotion\source\022915fab0af4d5dbc74c88214a21ee5.jpg,360,640,4,253,28,300,96,happy,0.0
82,C:\mywork\ml\deepfaceAndEmotion\source\022915fab0af4d5dbc74c88214a21ee5.jpg,360,640,5,334,42,377,98,happy,0.0
83,C:\mywork\ml\deepfaceAndEmotion\source\0272a05589274fedaa11b1c4a439287a.jpg,1051,1300,0,846,516,1032,743,neutral,0.0
84,C:\mywork\ml\deepfaceAndEmotion\source\0272a05589274fedaa11b1c4a439287a.jpg,1051,1300,1,355,456,475,632,neutral,0.0
85,C:\mywork\ml\deepfaceAndEmotion\source\0272a05589274fedaa11b1c4a439287a.jpg,1051,1300,2,39,0,101,78,neutral,0.0
86,C:\mywork\ml\deepfaceAndEmotion\source\0272a05589274fedaa11b1c4a439287a.jpg,1051,1300,3,1103,344,1200,470,neutral,0.0
87,C:\mywork\ml\deepfaceAndEmotion\source\0272a05589274fedaa11b1c4a439287a.jpg,1051,1300,4,59,224,127,331,angry,0.0
88,C:\mywork\ml\deepfaceAndEmotion\source\0272a05589274fedaa11b1c4a439287a.jpg,1051,1300,5,474,218,561,346,happy,0.0
89,C:\mywork\ml\deepfaceAndEmotion\source\0272a05589274fedaa11b1c4a439287a.jpg,1051,1300,6,36,561,150,657,sad,0.0
90,C:\mywork\ml\deepfaceAndEmotion\source\0272a05589274fedaa11b1c4a439287a.jpg,1051,1300,7,240,269,305,366,fear,0.0
91,C:\mywork\ml\deepfaceAndEmotion\source\0272a05589274fedaa11b1c4a439287a.jpg,1051,1300,8,661,272,745,391,neutral,0.0
92,C:\mywork\ml\deepfaceAndEmotion\source\0275f9a215934751b2b477d509cf3491.jpg,332,500,0,145,70,204,135,sad,0.96
93,C:\mywork\ml\deepfaceAndEmotion\source\0275f9a215934751b2b477d509cf3491.jpg,332,500,1,342,70,404,142,angry,0.0
94,C:\mywork\ml\deepfaceAndEmotion\source\0275f9a215934751b2b477d509cf3491.jpg,332,500,2,219,121,295,215,happy,0.0
95,C:\mywork\ml\deepfaceAndEmotion\source\0275f9a215934751b2b477d509cf3491.jpg,332,500,3,447,69,497,131,angry,0.0
96,C:\mywork\ml\deepfaceAndEmotion\source\0275f9a215934751b2b477d509cf3491.jpg,332,500,4,21,170,103,260,happy,0.0
97,C:\mywork\ml\deepfaceAndEmotion\source\0275f9a215934751b2b477d509cf3491.jpg,332,500,5,41,53,73,101,neutral,0.0
98,C:\mywork\ml\deepfaceAndEmotion\source\0275f9a215934751b2b477d509cf3491.jpg,332,500,6,264,92,305,143,angry,0.0
99,C:\mywork\ml\deepfaceAndEmotion\source\0275f9a215934751b2b477d509cf3491.jpg,332,500,7,37,2,67,32,neutral,0.0
100,C:\mywork\ml\deepfaceAndEmotion\source\0275f9a215934751b2b477d509cf3491.jpg,332,500,8,135,0,175,14,angry,0.0
101,C:\mywork\ml\deepfaceAndEmotion\source\02a9ea1d381743e99e9e0eb95e746767.jpg,486,730,0,64,58,148,165,happy,0.0
102,C:\mywork\ml\deepfaceAndEmotion\source\02a9ea1d381743e99e9e0eb95e746767.jpg,486,730,1,532,77,594,162,happy,0.0
103,C:\mywork\ml\deepfaceAndEmotion\source\02a9ea1d381743e99e9e0eb95e746767.jpg,486,730,2,351,78,416,162,happy,0.0
104,C:\mywork\ml\deepfaceAndEmotion\source\02a9ea1d381743e99e9e0eb95e746767.jpg,486,730,3,180,126,220,177,happy,0.0
105,C:\mywork\ml\deepfaceAndEmotion\source\02a9ea1d381743e99e9e0eb95e746767.jpg,486,730,4,244,103,294,167,happy,0.0
106,C:\mywork\ml\deepfaceAndEmotion\source\02a9ea1d381743e99e9e0eb95e746767.jpg,486,730,5,632,93,679,153,happy,0.0
107,C:\mywork\ml\deepfaceAndEmotion\source\02a9ea1d381743e99e9e0eb95e746767.jpg,486,730,6,480,109,525,169,happy,0.0
108,C:\mywork\ml\deepfaceAndEmotion\source\02cc9d2429424b3b81113f14b5a69ad9.jpg,487,650,0,254,276,294,340,angry,0.0
109,C:\mywork\ml\deepfaceAndEmotion\source\02cc9d2429424b3b81113f14b5a69ad9.jpg,487,650,1,522,212,549,259,happy,0.0
110,C:\mywork\ml\deepfaceAndEmotion\source\02cc9d2429424b3b81113f14b5a69ad9.jpg,487,650,2,602,168,617,188,sad,0.0
111,C:\mywork\ml\deepfaceAndEmotion\source\02cc9d2429424b3b81113f14b5a69ad9.jpg,487,650,3,549,150,564,167,sad,0.0
112,C:\mywork\ml\deepfaceAndEmotion\source\02cc9d2429424b3b81113f14b5a69ad9.jpg,487,650,4,450,154,466,181,fear,0.0
113,C:\mywork\ml\deepfaceAndEmotion\source\02cc9d2429424b3b81113f14b5a69ad9.jpg,487,650,5,581,148,596,170,sad,0.0
114,C:\mywork\ml\deepfaceAndEmotion\source\02cc9d2429424b3b81113f14b5a69ad9.jpg,487,650,6,104,139,114,152,sad,0.0
115,C:\mywork\ml\deepfaceAndEmotion\source\02cc9d2429424b3b81113f14b5a69ad9.jpg,487,650,7,413,156,425,171,neutral,0.0
116,C:\mywork\ml\deepfaceAndEmotion\source\02cc9d2429424b3b81113f14b5a69ad9.jpg,487,650,8,438,155,451,175,sad,0.0
117,C:\mywork\ml\deepfaceAndEmotion\source\02cc9d2429424b3b81113f14b5a69ad9.jpg,487,650,9,209,162,219,177,sad,0.0
118,C:\mywork\ml\deepfaceAndEmotion\source\02cc9d2429424b3b81113f14b5a69ad9.jpg,487,650,10,256,146,266,161,surprise,0.0
119,C:\mywork\ml\deepfaceAndEmotion\source\02cc9d2429424b3b81113f14b5a69ad9.jpg,487,650,11,255,146,263,161,sad,0.0
120,C:\mywork\ml\deepfaceAndEmotion\source\03e3f6e435b84a9e94a4c8d3ab00a498.jpg,600,1000,0,612,137,757,305,happy,0.0
121,C:\mywork\ml\deepfaceAndEmotion\source\03e3f6e435b84a9e94a4c8d3ab00a498.jpg,600,1000,1,4,182,130,340,happy,0.0
122,C:\mywork\ml\deepfaceAndEmotion\source\03e3f6e435b84a9e94a4c8d3ab00a498.jpg,600,1000,2,308,117,459,309,happy,0.0
123,C:\mywork\ml\deepfaceAndEmotion\source\03e3f6e435b84a9e94a4c8d3ab00a498.jpg,600,1000,3,744,74,852,215,angry,0.0
124,C:\mywork\ml\deepfaceAndEmotion\source\0437912fa55c4fdeab4d167eb28231a3.jpg,1512,2016,0,53,369,239,636,sad,0.0
125,C:\mywork\ml\deepfaceAndEmotion\source\0437912fa55c4fdeab4d167eb28231a3.jpg,1512,2016,1,362,445,487,622,fear,0.0
126,C:\mywork\ml\deepfaceAndEmotion\source\0437912fa55c4fdeab4d167eb28231a3.jpg,1512,2016,2,1934,528,2016,663,fear,0.0
127,C:\mywork\ml\deepfaceAndEmotion\source\0437912fa55c4fdeab4d167eb28231a3.jpg,1512,2016,3,1001,566,1051,638,fear,0.0
128,C:\mywork\ml\deepfaceAndEmotion\source\0437912fa55c4fdeab4d167eb28231a3.jpg,1512,2016,4,737,549,791,620,neutral,0.0
129,C:\mywork\ml\deepfaceAndEmotion\source\0437912fa55c4fdeab4d167eb28231a3.jpg,1512,2016,5,1223,547,1278,633,fear,0.0
130,C:\mywork\ml\deepfaceAndEmotion\source\0437912fa55c4fdeab4d167eb28231a3.jpg,1512,2016,6,545,565,585,624,angry,0.0
131,C:\mywork\ml\deepfaceAndEmotion\source\0437912fa55c4fdeab4d167eb28231a3.jpg,1512,2016,7,1411,594,1445,642,sad,0.0
132,C:\mywork\ml\deepfaceAndEmotion\source\0437912fa55c4fdeab4d167eb28231a3.jpg,1512,2016,8,1082,567,1124,628,sad,0.0
133,C:\mywork\ml\deepfaceAndEmotion\source\0437912fa55c4fdeab4d167eb28231a3.jpg,1512,2016,9,205,500,281,633,happy,0.0
134,C:\mywork\ml\deepfaceAndEmotion\source\0437912fa55c4fdeab4d167eb28231a3.jpg,1512,2016,10,1522,595,1575,649,angry,0.0
135,C:\mywork\ml\deepfaceAndEmotion\source\0437912fa55c4fdeab4d167eb28231a3.jpg,1512,2016,11,929,603,959,643,angry,0.0
136,C:\mywork\ml\deepfaceAndEmotion\source\0437912fa55c4fdeab4d167eb28231a3.jpg,1512,2016,12,1323,590,1359,634,happy,0.0
137,C:\mywork\ml\deepfaceAndEmotion\source\04a77bfe71c644409ef4893854f4a1d7.jpg,426,640,0,482,27,547,117,angry,0.0
138,C:\mywork\ml\deepfaceAndEmotion\source\04a77bfe71c644409ef4893854f4a1d7.jpg,426,640,1,138,63,242,177,sad,0.0
139,C:\mywork\ml\deepfaceAndEmotion\source\04a77bfe71c644409ef4893854f4a1d7.jpg,426,640,2,400,193,439,245,surprise,0.0
140,C:\mywork\ml\deepfaceAndEmotion\source\04a77bfe71c644409ef4893854f4a1d7.jpg,426,640,3,358,59,381,88,sad,0.0
141,C:\mywork\ml\deepfaceAndEmotion\source\04a77bfe71c644409ef4893854f4a1d7.jpg,426,640,4,284,154,309,186,sad,0.0
142,C:\mywork\ml\deepfaceAndEmotion\source\04a77bfe71c644409ef4893854f4a1d7.jpg,426,640,5,265,33,290,63,fear,0.0
143,C:\mywork\ml\deepfaceAndEmotion\source\04a77bfe71c644409ef4893854f4a1d7.jpg,426,640,6,364,218,393,256,sad,0.0
144,C:\mywork\ml\deepfaceAndEmotion\source\04a77bfe71c644409ef4893854f4a1d7.jpg,426,640,7,463,46,485,77,fear,0.0
145,C:\mywork\ml\deepfaceAndEmotion\source\04a77bfe71c644409ef4893854f4a1d7.jpg,426,640,8,59,45,120,119,fear,0.0
146,C:\mywork\ml\deepfaceAndEmotion\source\04a77bfe71c644409ef4893854f4a1d7.jpg,426,640,9,432,126,455,158,sad,0.0
147,C:\mywork\ml\deepfaceAndEmotion\source\04a77bfe71c644409ef4893854f4a1d7.jpg,426,640,10,439,23,458,47,fear,0.0
148,C:\mywork\ml\deepfaceAndEmotion\source\04a77bfe71c644409ef4893854f4a1d7.jpg,426,640,11,498,0,516,17,fear,0.0
149,C:\mywork\ml\deepfaceAndEmotion\source\04a77bfe71c644409ef4893854f4a1d7.jpg,426,640,12,355,1,379,13,angry,0.0
150,C:\mywork\ml\deepfaceAndEmotion\source\04a77bfe71c644409ef4893854f4a1d7.jpg,426,640,13,439,64,457,83,sad,0.0
151,C:\mywork\ml\deepfaceAndEmotion\source\04b74dac85904092b57a1384998da221.jpg,543,960,0,244,63,358,225,neutral,0.0
152,C:\mywork\ml\deepfaceAndEmotion\source\04b74dac85904092b57a1384998da221.jpg,543,960,1,371,52,485,204,sad,0.0
153,C:\mywork\ml\deepfaceAndEmotion\source\04b74dac85904092b57a1384998da221.jpg,543,960,2,694,0,807,77,happy,0.0
154,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,0,745,508,810,586,neutral,0.0
155,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,1,382,419,454,510,happy,0.94
156,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,2,613,267,653,317,happy,0.0
157,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,3,1047,479,1120,566,neutral,0.0
158,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,4,944,269,983,315,angry,0.0
159,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,5,462,282,500,329,fear,0.0
160,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,6,462,457,526,531,happy,0.0
161,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,7,770,309,820,367,fear,0.0
162,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,8,23,360,68,411,sad,0.0
163,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,9,200,480,266,560,happy,0.0
164,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,10,1211,201,1241,234,sad,0.0
165,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,11,1176,223,1208,261,happy,0.0
166,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,12,120,248,153,292,happy,0.0
167,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,13,195,372,250,432,fear,0.0
168,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,14,284,275,322,323,neutral,0.0
169,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,15,1172,377,1226,429,fear,0.0
170,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,16,309,386,364,449,fear,0.0
171,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,17,919,241,960,290,neutral,0.0
172,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,18,528,244,557,280,happy,0.0
173,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,19,408,239,437,276,happy,0.0
174,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,20,1132,192,1160,228,sad,0.0
175,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,21,519,391,574,456,happy,0.0
176,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,22,455,222,480,251,neutral,0.0
177,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,23,680,208,705,241,sad,0.0
178,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,24,1046,299,1085,360,neutral,0.0
179,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,25,764,273,805,323,happy,0.0
180,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,26,769,230,802,269,sad,0.0
181,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,27,309,189,333,220,sad,0.0
182,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,28,402,193,425,221,happy,0.0
183,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,29,0,305,17,361,sad,0.0
184,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,30,257,243,284,280,sad,0.0
185,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,31,609,167,631,196,neutral,0.0
186,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,32,542,217,569,250,happy,0.0
187,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,33,122,195,146,227,happy,0.0
188,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,34,862,173,883,199,sad,0.0
189,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,35,494,196,516,224,fear,0.0
190,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,36,1287,295,1299,342,sad,0.0
191,C:\mywork\ml\deepfaceAndEmotion\source\0503afe5d1b14b7daebd0847996e8085.jpg,940,1300,37,1033,214,1068,249,sad,0.0
